model,storage,carrier,condition,price
iPhoneSE,16GB,Unlocked,New,88.29
iPhoneSE,16GB,Unlocked,Like_new,63.93
iPhoneSE,16GB,Unlocked,Good,60.89
iPhoneSE,16GB,Unlocked,Poor,42.62
iPhoneSE,16GB,Unlocked,Broken,21.31
iPhoneSE,16GB,Verizon,New,88.29
iPhoneSE,16GB,Verizon,Like_new,63.93
iPhoneSE,16GB,Verizon,Good,60.89
iPhoneSE,16GB,Verizon,Poor,42.62
iPhoneSE,16GB,Verizon,Broken,21.31
iPhoneSE,16GB,AT&T,New,79.46
iPhoneSE,16GB,AT&T,Like_new,57.54
iPhoneSE,16GB,AT&T,Good,54.8
iPhoneSE,16GB,AT&T,Poor,38.36
iPhoneSE,16GB,AT&T,Broken,19.18
iPhoneSE,16GB,T-Mobile,New,75.04
iPhoneSE,16GB,T-Mobile,Like_new,54.34
iPhoneSE,16GB,T-Mobile,Good,51.75
iPhoneSE,16GB,T-Mobile,Poor,36.23
iPhoneSE,16GB,T-Mobile,Broken,18.11
iPhoneSE,16GB,Sprint,New,75.04
iPhoneSE,16GB,Sprint,Like_new,54.34
iPhoneSE,16GB,Sprint,Good,51.75
iPhoneSE,16GB,Sprint,Poor,36.23
iPhoneSE,16GB,Sprint,Broken,18.11
iPhoneSE,16GB,Other,New,44.14
iPhoneSE,16GB,Other,Like_new,31.97
iPhoneSE,16GB,Other,Good,30.44
iPhoneSE,16GB,Other,Poor,21.31
iPhoneSE,16GB,Other,Broken,10.66
iPhoneSE,32GB,Unlocked,New,105.45
iPhoneSE,32GB,Unlocked,Like_new,76.36
iPhoneSE,32GB,Unlocked,Good,72.73
iPhoneSE,32GB,Unlocked,Poor,50.91
iPhoneSE,32GB,Unlocked,Broken,25.45
iPhoneSE,32GB,Verizon,New,105.45
iPhoneSE,32GB,Verizon,Like_new,76.36
iPhoneSE,32GB,Verizon,Good,72.73
iPhoneSE,32GB,Verizon,Poor,50.91
iPhoneSE,32GB,Verizon,Broken,25.45
iPhoneSE,32GB,AT&T,New,94.91
iPhoneSE,32GB,AT&T,Like_new,68.73
iPhoneSE,32GB,AT&T,Good,65.45
iPhoneSE,32GB,AT&T,Poor,45.82
iPhoneSE,32GB,AT&T,Broken,22.91
iPhoneSE,32GB,T-Mobile,New,89.64
iPhoneSE,32GB,T-Mobile,Like_new,64.91
iPhoneSE,32GB,T-Mobile,Good,61.82
iPhoneSE,32GB,T-Mobile,Poor,43.27
iPhoneSE,32GB,T-Mobile,Broken,21.64
iPhoneSE,32GB,Sprint,New,89.64
iPhoneSE,32GB,Sprint,Like_new,64.91
iPhoneSE,32GB,Sprint,Good,61.82
iPhoneSE,32GB,Sprint,Poor,43.27
iPhoneSE,32GB,Sprint,Broken,21.64
iPhoneSE,32GB,Other,New,52.73
iPhoneSE,32GB,Other,Like_new,38.18
iPhoneSE,32GB,Other,Good,36.36
iPhoneSE,32GB,Other,Poor,25.45
iPhoneSE,32GB,Other,Broken,12.73
iPhoneSE,64GB,Unlocked,New,122.83
iPhoneSE,64GB,Unlocked,Like_new,88.95
iPhoneSE,64GB,Unlocked,Good,84.71
iPhoneSE,64GB,Unlocked,Poor,59.3
iPhoneSE,64GB,Unlocked,Broken,29.65
iPhoneSE,64GB,Verizon,New,122.83
iPhoneSE,64GB,Verizon,Like_new,88.95
iPhoneSE,64GB,Verizon,Good,84.71
iPhoneSE,64GB,Verizon,Poor,59.3
iPhoneSE,64GB,Verizon,Broken,29.65
iPhoneSE,64GB,AT&T,New,110.55
iPhoneSE,64GB,AT&T,Like_new,80.05
iPhoneSE,64GB,AT&T,Good,76.24
iPhoneSE,64GB,AT&T,Poor,53.37
iPhoneSE,64GB,AT&T,Broken,26.68
iPhoneSE,64GB,T-Mobile,New,104.41
iPhoneSE,64GB,T-Mobile,Like_new,75.61
iPhoneSE,64GB,T-Mobile,Good,72.01
