model,storage,carrier,condition,price
iPhoneSE,16GB,Unlocked,New,76.11
iPhoneSE,16GB,Unlocked,Like_new,64.54
iPhoneSE,16GB,Unlocked,Good,60.89
iPhoneSE,16GB,Unlocked,Fair,51.75
iPhoneSE,16GB,Unlocked,Broken,30.44
iPhoneSE,16GB,Verizon,New,76.11
iPhoneSE,16GB,Verizon,Like_new,64.54
iPhoneSE,16GB,Verizon,Good,60.89
iPhoneSE,16GB,Verizon,Fair,51.75
iPhoneSE,16GB,Verizon,Broken,30.44
iPhoneSE,16GB,AT&T,New,73.22
iPhoneSE,16GB,AT&T,Like_new,62.09
iPhoneSE,16GB,AT&T,Good,58.57
iPhoneSE,16GB,AT&T,Fair,49.79
iPhoneSE,16GB,AT&T,Broken,29.29
iPhoneSE,16GB,T-Mobile,New,70.78
iPhoneSE,16GB,T-Mobile,Like_new,60.02
iPhoneSE,16GB,T-Mobile,Good,56.63
iPhoneSE,16GB,T-Mobile,Fair,48.13
iPhoneSE,16GB,T-Mobile,Broken,28.31
iPhoneSE,16GB,Sprint,New,67.97
iPhoneSE,16GB,Sprint,Like_new,57.63
iPhoneSE,16GB,Sprint,Good,54.37
iPhoneSE,16GB,Sprint,Fair,46.22
iPhoneSE,16GB,Sprint,Broken,27.19
iPhoneSE,16GB,Other,New,38.05
iPhoneSE,16GB,Other,Like_new,32.27
iPhoneSE,16GB,Other,Good,30.44
iPhoneSE,16GB,Other,Fair,25.88
iPhoneSE,16GB,Other,Broken,15.22
iPhoneSE,32GB,Unlocked,New,90.91
iPhoneSE,32GB,Unlocked,Like_new,77.09
iPhoneSE,32GB,Unlocked,Good,72.73
iPhoneSE,32GB,Unlocked,Fair,61.82
iPhoneSE,32GB,Unlocked,Broken,36.36
iPhoneSE,32GB,Verizon,New,90.91
iPhoneSE,32GB,Verizon,Like_new,77.09
iPhoneSE,32GB,Verizon,Good,72.73
iPhoneSE,32GB,Verizon,Fair,61.82
iPhoneSE,32GB,Verizon,Broken,36.36
iPhoneSE,32GB,AT&T,New,87.45
iPhoneSE,32GB,AT&T,Like_new,74.16
iPhoneSE,32GB,AT&T,Good,69.96
iPhoneSE,32GB,AT&T,Fair,59.47
iPhoneSE,32GB,AT&T,Broken,34.98
iPhoneSE,32GB,T-Mobile,New,84.55
iPhoneSE,32GB,T-Mobile,Like_new,71.69
iPhoneSE,32GB,T-Mobile,Good,67.64
iPhoneSE,32GB,T-Mobile,Fair,57.49
iPhoneSE,32GB,T-Mobile,Broken,33.82
iPhoneSE,32GB,Sprint,New,81.18
iPhoneSE,32GB,Sprint,Like_new,68.84
iPhoneSE,32GB,Sprint,Good,64.95
iPhoneSE,32GB,Sprint,Fair,55.2
iPhoneSE,32GB,Sprint,Broken,32.47
iPhoneSE,32GB,Other,New,45.45
iPhoneSE,32GB,Other,Like_new,38.55
iPhoneSE,32GB,Other,Good,36.36
iPhoneSE,32GB,Other,Fair,30.91
iPhoneSE,32GB,Other,Broken,18.18
iPhoneSE,64GB,Unlocked,New,105.89
iPhoneSE,64GB,Unlocked,Like_new,89.79
iPhoneSE,64GB,Unlocked,Good,84.71
iPhoneSE,64GB,Unlocked,Fair,72.01
iPhoneSE,64GB,Unlocked,Broken,42.36
iPhoneSE,64GB,Verizon,New,105.89
iPhoneSE,64GB,Verizon,Like_new,89.79
iPhoneSE,64GB,Verizon,Good,84.71
iPhoneSE,64GB,Verizon,Fair,72.01
iPhoneSE,64GB,Verizon,Broken,42.36
iPhoneSE,64GB,AT&T,New,101.87
iPhoneSE,64GB,AT&T,Like_new,86.38
iPhoneSE,64GB,AT&T,Good,81.49
iPhoneSE,64GB,AT&T,Fair,69.27
iPhoneSE,64GB,AT&T,Broken,40.75
iPhoneSE,64GB,T-Mobile,New,98.48
iPhoneSE,64GB,T-Mobile,Like_new,83.51
iPhoneSE,64GB,T-Mobile,Good,78.78
iPhoneSE,64GB,T-Mobile,Fair,66.96
iPhoneSE,64GB,T-Mobile,Broken,39.39
iPhoneSE,64GB,Sprint,New,94.56
iPhoneSE,64GB,Sprint,Like_new,80.19
iPhoneSE,64GB,Sprint,Good,75.65
iPhoneSE,64GB,Sprint,Fair,64.3
iPhoneSE,64GB,Sprint,Broken,37.82
iPhoneSE,64GB,Other,New,52.94
iPhoneSE,64GB,Other,Like_new,44.9
iPhoneSE,64GB,Other,Good,42.36
iPhoneSE,64GB,Other,Fair,36.0
iPhoneSE,64GB,Other,Broken,21.18
iPhoneSE,128GB,Unlocked,New,131.9
iPhoneSE,128GB,Unlocked,Like_new,111.85
iPhoneSE,128GB,Unlocked,Good,105.52
iPhoneSE,128GB,Unlocked,Fair,89.69
iPhoneSE,128GB,Unlocked,Broken,52.76
iPhoneSE,128GB,Verizon,New,131.9
iPhoneSE,128GB,Verizon,Like_new,111.85
iPhoneSE,128GB,Verizon,Good,105.52
iPhoneSE,128GB,Verizon,Fair,89.69
iPhoneSE,128GB,Verizon,Broken,52.76
iPhoneSE,128GB,AT&T,New,126.89
iPhoneSE,128GB,AT&T,Like_new,107.6
iPhoneSE,128GB,AT&T,Good,101.51
iPhoneSE,128GB,AT&T,Fair,86.29
iPhoneSE,128GB,AT&T,Broken,50.76
iPhoneSE,128GB,T-Mobile,New,122.67
iPhoneSE,128GB,T-Mobile,Like_new,104.02
iPhoneSE,128GB,T-Mobile,Good,98.14
iPhoneSE,128GB,T-Mobile,Fair,83.42
iPhoneSE,128GB,T-Mobile,Broken,49.07
iPhoneSE,128GB,Sprint,New,117.79
iPhoneSE,128GB,Sprint,Like_new,99.89
iPhoneSE,128GB,Sprint,Good,94.23
iPhoneSE,128GB,Sprint,Fair,80.1
iPhoneSE,128GB,Sprint,Broken,47.12
iPhoneSE,128GB,Other,New,65.95
iPhoneSE,128GB,Other,Like_new,55.93
