model,storage,price
iPhoneSE,16GB,87
iPhoneSE,32GB,102
iPhoneSE,64GB,120
iPhoneSE,128GB,145
iPhone6,16GB,88
iPhone6,32GB,82
iPhone6,64GB,96
iPhone6,128GB,101
iPhone6Plus,16GB,120
iPhone6Plus,32GB,105
iPhone6Plus,64GB,129
iPhone6Plus,128GB,148
iPhone6S,16GB,103
iPhone6S,32GB,111
iPhone6S,64GB,120
iPhone6S,128GB,141
iPhone6SPlus,16GB,138
iPhone6SPlus,32GB,160
iPhone6SPlus,64GB,161
iPhone6SPlus,128GB,189
iPhone7,32GB,147
iPhone7,128GB,176
iPhone7,256GB,199
iPhone7Plus,32GB,216
iPhone7Plus,128GB,242
iPhone7Plus,256GB,262
iPhone8,64GB,244
iPhone8,128GB,286
iPhone8,256GB,278
iPhone8Plus,64GB,305
iPhone8Plus,128GB,328
iPhone8Plus,256GB,352
iPhoneX,64GB,366
iPhoneX,256GB,394
iPhoneXr,64GB,376
iPhoneXr,128GB,404
iPhoneXr,256GB,467
iPhoneXs,64GB,408
iPhoneXs,256GB,466
iPhoneXs,512GB,545
iPhoneXsMax,64GB,482
iPhoneXsMax,256GB,537
iPhoneXsMax,512GB,609
iPhone11,64GB,529
iPhone11,128GB,567
iPhone11,256GB,595
iPhone11Pro,64GB,666
iPhone11Pro,256GB,724
iPhone11Pro,512GB,801
iPhone11ProMax,64GB,755
iPhone11ProMax,256GB,834
iPhone11ProMax,512GB,927
iPhoneSE2ndGen,64GB,316
iPhoneSE2ndGen,128GB,364
iPhoneSE2ndGen,256GB,425
iPhone12,64GB,783
iPhone12,128GB,859
iPhone12,256GB,979
iPhone12Pro,128GB,1149
iPhone12Pro,256GB,1248
iPhone12Pro,512GB,1400
