model,storage,carrier,condition,price
iPhoneSE,16GB,Unlocked,New,39.06
iPhoneSE,16GB,Unlocked,Like_new,33.49
iPhoneSE,16GB,Unlocked,Good,31.11
iPhoneSE,16GB,Unlocked,Fair,25.15
iPhoneSE,16GB,Unlocked,Broken,11.25
iPhoneSE,16GB,Verizon,New,39.06
iPhoneSE,16GB,Verizon,Like_new,33.49
iPhoneSE,16GB,Verizon,Good,31.11
iPhoneSE,16GB,Verizon,Fair,25.15
iPhoneSE,16GB,Verizon,Broken,11.25
iPhoneSE,16GB,AT&T,New,37.25
iPhoneSE,16GB,AT&T,Like_new,31.89
iPhoneSE,16GB,AT&T,Good,29.6
iPhoneSE,16GB,AT&T,Fair,23.87
iPhoneSE,16GB,AT&T,Broken,10.49
iPhoneSE,16GB,T-Mobile,New,35.72
iPhoneSE,16GB,T-Mobile,Like_new,30.55
iPhoneSE,16GB,T-Mobile,Good,28.33
iPhoneSE,16GB,T-Mobile,Fair,22.79
iPhoneSE,16GB,T-Mobile,Broken,9.86
iPhoneSE,16GB,Sprint,New,33.96
iPhoneSE,16GB,Sprint,Like_new,28.99
iPhoneSE,16GB,Sprint,Good,26.86
iPhoneSE,16GB,Sprint,Fair,21.54
iPhoneSE,16GB,Sprint,Broken,9.12
iPhoneSE,16GB,Other,New,22.37
iPhoneSE,16GB,Other,Like_new,18.76
iPhoneSE,16GB,Other,Good,17.21
iPhoneSE,16GB,Other,Fair,13.34
iPhoneSE,16GB,Other,Broken,4.3
iPhoneSE,32GB,Unlocked,New,47.77
iPhoneSE,32GB,Unlocked,Like_new,41.19
iPhoneSE,32GB,Unlocked,Good,38.38
iPhoneSE,32GB,Unlocked,Fair,31.32
iPhoneSE,32GB,Unlocked,Broken,14.88
iPhoneSE,32GB,Verizon,New,47.77
iPhoneSE,32GB,Verizon,Like_new,41.19
iPhoneSE,32GB,Verizon,Good,38.38
iPhoneSE,32GB,Verizon,Fair,31.32
iPhoneSE,32GB,Verizon,Broken,14.88
iPhoneSE,32GB,AT&T,New,45.63
iPhoneSE,32GB,AT&T,Like_new,39.3
iPhoneSE,32GB,AT&T,Good,36.59
iPhoneSE,32GB,AT&T,Fair,29.81
iPhoneSE,32GB,AT&T,Broken,13.99
iPhoneSE,32GB,T-Mobile,New,43.83
iPhoneSE,32GB,T-Mobile,Like_new,37.71
iPhoneSE,32GB,T-Mobile,Good,35.08
iPhoneSE,32GB,T-Mobile,Fair,28.53
iPhoneSE,32GB,T-Mobile,Broken,13.24
iPhoneSE,32GB,Sprint,New,41.74
iPhoneSE,32GB,Sprint,Like_new,35.86
iPhoneSE,32GB,Sprint,Good,33.35
iPhoneSE,32GB,Sprint,Fair,27.05
iPhoneSE,32GB,Sprint,Broken,12.37
iPhoneSE,32GB,Other,New,28.04
iPhoneSE,32GB,Other,Like_new,23.76
iPhoneSE,32GB,Other,Good,21.93
iPhoneSE,32GB,Other,Fair,17.35
iPhoneSE,32GB,Other,Broken,6.66
iPhoneSE,64GB,Unlocked,New,54.54
iPhoneSE,64GB,Unlocked,Like_new,47.17
iPhoneSE,64GB,Unlocked,Good,44.02
iPhoneSE,64GB,Unlocked,Fair,36.13
iPhoneSE,64GB,Unlocked,Broken,17.7
iPhoneSE,64GB,Verizon,New,54.54
iPhoneSE,64GB,Verizon,Like_new,47.17
iPhoneSE,64GB,Verizon,Good,44.02
iPhoneSE,64GB,Verizon,Fair,36.13
iPhoneSE,64GB,Verizon,Broken,17.7
iPhoneSE,64GB,AT&T,New,52.14
